name,common_name,name_type
Marias,heroin,street_name
Marrion,heroin,street_name
Mayo,heroin,street_name
Mazpan,heroin,street_name
Meal,heroin,street_name
Menthol,heroin,street_name
Mexican Brown,heroin,street_name
Mexican Food,heroin,street_name
Mexican Horse,heroin,street_name
Mexican Mud,heroin,street_name
Mexican Treat,heroin,street_name
Modelo Negra,heroin,street_name
Mojo,heroin,street_name
Mole,heroin,street_name
Mongega,heroin,street_name
Morena,heroin,street_name
Morenita,heroin,street_name
Mortal Combat,heroin,street_name
Motors,heroin,street_name
Mud,heroin,street_name
Mujer,heroin,street_name
Murcielago,heroin,street_name
Muzzle,heroin,street_name
Nanoo,heroin,street_name
Negra,heroin,street_name
Negra Tomasa,heroin,street_name
Negrita,heroin,street_name
Nice and Easy,heroin,street_name
Night,heroin,street_name
Noise,heroin,street_name
Obama,heroin,street_name
Old Steve,heroin,street_name
Pants,heroin,street_name
Patty,heroin,street_name
Peg,heroin,street_name
P-Funk,heroin,street_name
Piezas,heroin,street_name
Plata,heroin,street_name
Poison,heroin,street_name
Polvo,heroin,street_name
Polvo de Alegria,heroin,street_name
Polvo de Estrellas,heroin,street_name
Polvo Feliz,heroin,street_name
Poppy,heroin,street_name
Powder,heroin,street_name
Prostituta Negra,heroin,street_name
Puppy,heroin,street_name
Pure,heroin,street_name
Rambo,heroin,street_name
Raw,heroin,street_name
Red Chicken,heroin,street_name
Red Eagle,heroin,street_name
Reindeer Dust,heroin,street_name
Roofing Tar,heroin,street_name
Ruby,heroin,street_name
Sack,heroin,street_name
Salt,heroin,street_name
Sand,heroin,street_name
Scag,heroin,street_name
Scat,heroin,street_name
Schmeck,heroin,street_name
Scramble,heroin,street_name
Sheep,heroin,street_name
Shirts,heroin,street_name
Shoes,heroin,street_name
Skag,heroin,street_name
Skunk,heroin,street_name
Slime,heroin,street_name
Smack,heroin,street_name
Smeck,heroin,street_name
Snickers,heroin,street_name
Soda,heroin,street_name
Speedball,heroin,street_name
Spider Blue,heroin,street_name
Sticky Kind,heroin,street_name
Stufa,heroin,street_name
Sugar,heroin,street_name
Sweet Jesus,heroin,street_name
Tan,heroin,street_name
Tar,heroin,street_name
Tecata,heroin,street_name
Thunder,heroin,street_name
Tires,heroin,street_name
Tomasa,heroin,street_name
Tootsie Roll,heroin,street_name
Tragic Magic,heroin,street_name
Trees,heroin,street_name
Turtle,heroin,street_name
Vidrio,heroin,street_name
Weights,heroin,street_name
Whiskey,heroin,street_name
White,heroin,street_name
White Boy,heroin,street_name
White Girl,heroin,street_name
White Junk,heroin,street_name
White Lady,heroin,street_name
White Nurse,heroin,street_name
White Shirt,heroin,street_name
White Stuff,heroin,street_name
Wings,heroin,street_name
Witch,heroin,street_name
Witch Hazel,heroin,street_name
Zapapote,heroin,street_name
512s,percocet,street_name
Bananas,percocet,street_name
Blue,percocet,street_name
Blue Dynamite,percocet,street_name
Blueberries,percocet,street_name
Buttons,percocet,street_name
Ercs,percocet,street_name
Greenies,percocet,street_name
Hillbilly Heroin,percocet,street_name
Kickers,percocet,street_name
