name,common_name,name_type,full_common_name
Enrique Grande,heroin,street_name,heroin
Esquina,heroin,street_name,heroin
Esquinilla,heroin,street_name,heroin
Fairy Dust,heroin,street_name,heroin
Flea Powder,heroin,street_name,heroin
Food,heroin,street_name,heroin
Foolish Powder,heroin,street_name,heroin
Galloping Horse,heroin,street_name,heroin
Gamot,heroin,street_name,heroin
Gato,heroin,street_name,heroin
George Smack,heroin,street_name,heroin
Girl,heroin,street_name,heroin
Globo,heroin,street_name,heroin
Goat,heroin,street_name,heroin
Golden Girl,heroin,street_name,heroin
Good and Plenty,heroin,street_name,heroin
Good H,heroin,street_name,heroin
Goofball,heroin,street_name,heroin
Goma,heroin,street_name,heroin
Gorda,heroin,street_name,heroin
Gras,heroin,street_name,heroin
Grasin,heroin,street_name,heroin
Gravy,heroin,street_name,heroin
Gum,heroin,street_name,heroin
H,heroin,street_name,heroin
H-Caps,heroin,street_name,heroin
Hairy,heroin,street_name,heroin
Hard Candy,heroin,street_name,heroin
Hard One,heroin,street_name,heroin
Harry,heroin,street_name,heroin
Hats,heroin,street_name,heroin
Hazel,heroin,street_name,heroin
Heaven Dust,heroin,street_name,heroin
Heavy,heroin,street_name,heroin
Helen,heroin,street_name,heroin
Helicopter,heroin,street_name,heroin
Hell Dust,heroin,street_name,heroin
Henry,heroin,street_name,heroin
Hercules,heroin,street_name,heroin
Hero,heroin,street_name,heroin
Him,heroin,street_name,heroin
Hombre,heroin,street_name,heroin
Horse,heroin,street_name,heroin
Hot Dope,heroin,street_name,heroin
Huera,heroin,street_name,heroin
Hummers,heroin,street_name,heroin
Jojee,heroin,street_name,heroin
Joy Flakes,heroin,street_name,heroin
Joy Powder,heroin,street_name,heroin
Junk,heroin,street_name,heroin
Kabayo,heroin,street_name,heroin
Karachi,heroin,street_name,heroin
Karate,heroin,street_name,heroin
King’s Tickets,heroin,street_name,heroin
La Tierra,heroin,street_name,heroin
Lemonade,heroin,street_name,heroin
Lenta,heroin,street_name,heroin
Lifesaver,heroin,street_name,heroin
Manteca,heroin,street_name,heroin
Marias,heroin,street_name,heroin
Marrion,heroin,street_name,heroin
Mayo,heroin,street_name,heroin
Mazpan,heroin,street_name,heroin
Meal,heroin,street_name,heroin
Menthol,heroin,street_name,heroin
Mexican Brown,heroin,street_name,heroin
Mexican Food,heroin,street_name,heroin
Mexican Horse,heroin,street_name,heroin
Mexican Mud,heroin,street_name,heroin
Mexican Treat,heroin,street_name,heroin
Modelo Negra,heroin,street_name,heroin
Mojo,heroin,street_name,heroin
Mole,heroin,street_name,heroin
Mongega,heroin,street_name,heroin
Morena,heroin,street_name,heroin
Morenita,heroin,street_name,heroin
Mortal Combat,heroin,street_name,heroin
Motors,heroin,street_name,heroin
Mud,heroin,street_name,heroin
Mujer,heroin,street_name,heroin
Murcielago,heroin,street_name,heroin
Muzzle,heroin,street_name,heroin
Nanoo,heroin,street_name,heroin
Negra,heroin,street_name,heroin
Negra Tomasa,heroin,street_name,heroin
Negrita,heroin,street_name,heroin
Nice and Easy,heroin,street_name,heroin
Night,heroin,street_name,heroin
Noise,heroin,street_name,heroin
Obama,heroin,street_name,heroin
Old Steve,heroin,street_name,heroin
Pants,heroin,street_name,heroin
Patty,heroin,street_name,heroin
Peg,heroin,street_name,heroin
P-Funk,heroin,street_name,heroin
Piezas,heroin,street_name,heroin
Plata,heroin,street_name,heroin
Poison,heroin,street_name,heroin
Polvo,heroin,street_name,heroin
Polvo de Alegria,heroin,street_name,heroin
Polvo de Estrellas,heroin,street_name,heroin
Polvo Feliz,heroin,street_name,heroin
Poppy,heroin,street_name,heroin
Powder,heroin,street_name,heroin
Prostituta Negra,heroin,street_name,heroin
Puppy,heroin,street_name,heroin
Pure,heroin,street_name,heroin
Rambo,heroin,street_name,heroin
Raw,heroin,street_name,heroin
Red Chicken,heroin,street_name,heroin
Red Eagle,heroin,street_name,heroin
Reindeer Dust,heroin,street_name,heroin
Roofing Tar,heroin,street_name,heroin
Ruby,heroin,street_name,heroin
Sack,heroin,street_name,heroin
Salt,heroin,street_name,heroin
Sand,heroin,street_name,heroin
Scag,heroin,street_name,heroin
Scat,heroin,street_name,heroin
Schmeck,heroin,street_name,heroin
Scramble,heroin,street_name,heroin
Sheep,heroin,street_name,heroin
Shirts,heroin,street_name,heroin
Shoes,heroin,street_name,heroin
Skag,heroin,street_name,heroin
Skunk,heroin,street_name,heroin
Slime,heroin,street_name,heroin
Smack,heroin,street_name,heroin
Smeck,heroin,street_name,heroin
Snickers,heroin,street_name,heroin
Soda,heroin,street_name,heroin
Speedball,heroin,street_name,heroin
Spider Blue,heroin,street_name,heroin
Sticky Kind,heroin,street_name,heroin
Stufa,heroin,street_name,heroin
Sugar,heroin,street_name,heroin
Sweet Jesus,heroin,street_name,heroin
Tan,heroin,street_name,heroin
Tar,heroin,street_name,heroin
Tecata,heroin,street_name,heroin
Thunder,heroin,street_name,heroin
Tires,heroin,street_name,heroin
Tomasa,heroin,street_name,heroin
Tootsie Roll,heroin,street_name,heroin
Tragic Magic,heroin,street_name,heroin
Trees,heroin,street_name,heroin
Turtle,heroin,street_name,heroin
Vidrio,heroin,street_name,heroin
Weights,heroin,street_name,heroin
Whiskey,heroin,street_name,heroin
White,heroin,street_name,heroin
White Boy,heroin,street_name,heroin
White Girl,heroin,street_name,heroin
White Junk,heroin,street_name,heroin
White Lady,heroin,street_name,heroin
White Nurse,heroin,street_name,heroin
White Shirt,heroin,street_name,heroin
White Stuff,heroin,street_name,heroin
Wings,heroin,street_name,heroin
Witch,heroin,street_name,heroin
Witch Hazel,heroin,street_name,heroin
Zapapote,heroin,street_name,heroin
512s,oxycodone,street_name,oxycodone containing acetaminophen
Bananas,oxycodone,street_name,oxycodone containing acetaminophen
Blue,oxycodone,street_name,oxycodone containing acetaminophen
Blue Dynamite,oxycodone,street_name,oxycodone containing acetaminophen
Blueberries,oxycodone,street_name,oxycodone containing acetaminophen
Buttons,oxycodone,street_name,oxycodone containing acetaminophen
Ercs,oxycodone,street_name,oxycodone containing acetaminophen
Greenies,oxycodone,street_name,oxycodone containing acetaminophen
Hillbilly Heroin,oxycodone,street_name,oxycodone containing acetaminophen
Kickers,oxycodone,street_name,oxycodone containing acetaminophen
M-30s,oxycodone,street_name,oxycodone containing acetaminophen
Paulas,oxycodone,street_name,oxycodone containing acetaminophen
Percs,oxycodone,street_name,oxycodone containing acetaminophen
Rims,oxycodone,street_name,oxycodone containing acetaminophen
Tires,oxycodone,street_name,oxycodone containing acetaminophen
Wheels,oxycodone,street_name,oxycodone containing acetaminophen
Perks,oxycodone,street_name,oxycodone containing acetaminophen
Xanax,alprazolam,brand_name,alprazolam
Bars,alprazolam,street_name,alprazolam
Benzos,alprazolam,street_name,alprazolam
Bicycle Handle Bars,alprazolam,street_name,alprazolam
Bicycle Parts,alprazolam,street_name,alprazolam
Bricks,alprazolam,street_name,alprazolam
Footballs,alprazolam,street_name,alprazolam
Handlebars,alprazolam,street_name,alprazolam
Hulk,alprazolam,street_name,alprazolam
L7,alprazolam,street_name,alprazolam
Ladders,alprazolam,street_name,alprazolam
Palitroque,alprazolam,street_name,alprazolam
Planks,alprazolam,street_name,alprazolam
School Bus,alprazolam,street_name,alprazolam
Sticks,alprazolam,street_name,alprazolam
Upjohns,alprazolam,street_name,alprazolam
White Boys,alprazolam,street_name,alprazolam
White Girls,alprazolam,street_name,alprazolam
Xanies,alprazolam,street_name,alprazolam
Yellow Boys,alprazolam,street_name,alprazolam
Zanbars,alprazolam,street_name,alprazolam
Zannies,alprazolam,street_name,alprazolam
Z-Bars,alprazolam,street_name,alprazolam
Acelerador,amphetamine,street_name,amphetamine
Amy,amphetamine,street_name,amphetamine
Amps,amphetamine,street_name,amphetamine
Bam,amphetamine,street_name,amphetamine
B-Bombs,amphetamine,street_name,amphetamine
Beans,amphetamine,street_name,amphetamine
Bennies,amphetamine,street_name,amphetamine
Benz,amphetamine,street_name,amphetamine
Black and Whites,amphetamine,street_name,amphetamine
Black Beauties,amphetamine,street_name,amphetamine
Black Birds,amphetamine,street_name,amphetamine
Black Bombers,amphetamine,street_name,amphetamine
Black Mollies,amphetamine,street_name,amphetamine
Blacks,amphetamine,street_name,amphetamine
Blue Boys,amphetamine,street_name,amphetamine
Bombita,amphetamine,street_name,amphetamine
Brain Ticklers,amphetamine,street_name,amphetamine
Brownies,amphetamine,street_name,amphetamine
Bumblebees,amphetamine,street_name,amphetamine
Cartwheels,amphetamine,street_name,amphetamine
Chalk,amphetamine,street_name,amphetamine
Chicken Powder,amphetamine,street_name,amphetamine
Chochos,amphetamine,street_name,amphetamine
Chocolates,amphetamine,street_name,amphetamine
Christina,amphetamine,street_name,amphetamine
Chunk,amphetamine,street_name,amphetamine
Co-Pilot,amphetamine,street_name,amphetamine
Coast-to-Coasts,amphetamine,street_name,amphetamine
Crisscross,amphetamine,street_name,amphetamine
Cross Roads,amphetamine,street_name,amphetamine
Cross Tops,amphetamine,street_name,amphetamine
Crosses,amphetamine,street_name,amphetamine
Debs,amphetamine,street_name,amphetamine
Dexies,amphetamine,street_name,amphetamine
Diablos,amphetamine,street_name,amphetamine
Diamonds,amphetamine,street_name,amphetamine
Diet Pills,amphetamine,street_name,amphetamine
Dolls,amphetamine,street_name,amphetamine
Dominoes,amphetamine,street_name,amphetamine
Double Cross,amphetamine,street_name,amphetamine
Drivers,amphetamine,street_name,amphetamine
Dulces,amphetamine,street_name,amphetamine
Fives,amphetamine,street_name,amphetamine
Flour,amphetamine,street_name,amphetamine
Footballs,amphetamine,street_name,amphetamine
French Blues,amphetamine,street_name,amphetamine
Geeked Up,amphetamine,street_name,amphetamine
Goofballs,amphetamine,street_name,amphetamine
Greenies,amphetamine,street_name,amphetamine
Head Drugs,amphetamine,street_name,amphetamine
Hearts,amphetamine,street_name,amphetamine
Horse Heads,amphetamine,street_name,amphetamine
In-Betweens,amphetamine,street_name,amphetamine
Jelly Babies,amphetamine,street_name,amphetamine
Jelly Beans,amphetamine,street_name,amphetamine
Jolly Beans,amphetamine,street_name,amphetamine
Jugs,amphetamine,street_name,amphetamine
LA Turnaround,amphetamine,street_name,amphetamine
Leapers,amphetamine,street_name,amphetamine
Lid Poppers,amphetamine,street_name,amphetamine
Lightening,amphetamine,street_name,amphetamine
Little Bombs,amphetamine,street_name,amphetamine
Marathons,amphetamine,street_name,amphetamine
Mini Beans,amphetamine,street_name,amphetamine
Mini Bennies,amphetamine,street_name,amphetamine
Morning Shot,amphetamine,street_name,amphetamine
Nuggets,amphetamine,street_name,amphetamine
Oranges,amphetamine,street_name,amphetamine
Pastas,amphetamine,street_name,amphetamine
Pastillas,amphetamine,street_name,amphetamine
Peaches,amphetamine,street_name,amphetamine
Pep Pills,amphetamine,street_name,amphetamine
Pepper,amphetamine,street_name,amphetamine
Pingas,amphetamine,street_name,amphetamine
Pink Hearts,amphetamine,street_name,amphetamine
Pixies,amphetamine,street_name,amphetamine
Pollutants,amphetamine,street_name,amphetamine
