NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
SODA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SODITAS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SOFT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SPACE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SPECIAL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SPEEDBALL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
STARDUST,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
STAR SPANGLED POWDER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
STASH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
STUDIO FUEL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SUAVE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SUGAR,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SUPERMAN,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
SWEET STUFF,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
DEXMETHYLPHENIDATE,DEXMETHYLPHENIDATE,GENERIC_NAME,DEXMETHYLPHENIDATE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TABIQUE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TABLAS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TALCO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TALQUITO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TAMALES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PARA-METHOXYAMPHETAMINE,PARA-METHOXYAMPHETAMINE,GENERIC_NAME,PARA-METHOXYAMPHETAMINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TAXI,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TECATE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PSILOCIN,PSILOCIN,GENERIC_NAME,PSILOCIN,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TEENAGER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TEETH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TEQUILA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
THUNDER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TIRE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TONTO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TOOT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TORTES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TORTUGA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TOYOTA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
DIMETHYLLYSERGAMIDE,DIMETHYLLYSERGAMIDE,GENERIC_NAME,DIMETHYLLYSERGAMIDE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
T-SHIRTS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TUBO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TUCIBI,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
FENETHYLLINE,FENETHYLLINE,GENERIC_NAME,FENETHYLLINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TURKEY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
HEXOBARBITAL,HEXOBARBITAL,GENERIC_NAME,HEXOBARBITAL,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TUTTI-FRUTTI,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
VAQUITA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WASH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LEVOMETHORPHAN,LEVOMETHORPHAN,GENERIC_NAME,LEVOMETHORPHAN,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WET,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHACK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
METHORPHAN,METHORPHAN,GENERIC_NAME,METHORPHAN,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
METHYPRYLON,METHYPRYLON,GENERIC_NAME,METHYPRYLON,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE BITCH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE CROSS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE DOVE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE GIRL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE GOAT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PHOLCODINE,PHOLCODINE,GENERIC_NAME,PHOLCODINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE HORSE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE LADY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE MERCEDES BENZ,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
TETRAZEPAM,TETRAZEPAM,GENERIC_NAME,TETRAZEPAM,SCHEDULE IV,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE MOSQUITO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE PAINT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
ACETYLDIHYDROCODEINE,ACETYLDIHYDROCODEINE,GENERIC_NAME,ACETYLDIHYDROCODEINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE POWDER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE ROCK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE ROOT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE SHIRT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE T,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITE WALL TIRES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHITEY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WHIZ BANG,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WINGS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WOOLY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
WORK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
YAYO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
YEYO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
YODA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
ZAPATO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
ZIP,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
HUNTER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
ICE CREAM,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
ICING,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
INCA MESSAGE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
BOLANDIONE,BOLANDIONE,GENERIC_NAME,BOLANDIONE,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
IZZY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JAM,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JAIME BLANCO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JWH-250,JWH-250,GENERIC_NAME,JWH-250,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JAULA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LOPIRAZEPAM,LOPIRAZEPAM,GENERIC_NAME,LOPIRAZEPAM,SCHEDULE IV,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JEEP,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JELLY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JOHN DEERE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JOY FLAKES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JOY POWDER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JUGUETES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JWH-398,JWH-398,GENERIC_NAME,JWH-398,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JUMP ROPE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
JUNK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
K13,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
KING’S HABIT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
KORDELL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
ALPHACETYLMETHADOL,ALPHACETYLMETHADOL,GENERIC_NAME,ALPHACETYLMETHADOL,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LA FAMILIA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LADY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LADY SNOW,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LATE NIGHT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
BETACETYLMETHADOL,BETACETYLMETHADOL,GENERIC_NAME,BETACETYLMETHADOL,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LAVADA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LEAF,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LIBRETA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
AB-FUBINACA,AB-FUBINACA,GENERIC_NAME,AB-FUBINACA,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LINE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
AB-PINACA,AB-PINACA,GENERIC_NAME,AB-PINACA,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LOAF,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LOVE AFFAIR,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
LV,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MACA FLOUR,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MADERA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MAMA COCA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MANDANGO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MANITA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MARADONA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MARBOL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MATERIAL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MAYBACK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MAYO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MELCOCHA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MEDIA LATA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MERCEDES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MILK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MILONGA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MOJO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MONA LISA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
"3,4-METHYLENEDIOXY-N-ETHYLAMPHETAMINE","3,4-METHYLENEDIOXY-N-ETHYLAMPHETAMINE",GENERIC_NAME,"3,4-METHYLENEDIOXY-N-ETHYLAMPHETAMINE",SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MONTE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MORRO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MOSQUITOS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MOVIE STAR DRUG,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MUCHACHA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
RACEMORAMIDE,RACEMORAMIDE,GENERIC_NAME,RACEMORAMIDE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MUEBLES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
MUJER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
NAPKIN,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
NIEVE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
NINA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
NORMAL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
DEXTROAMPHETAMINE,DEXTROAMPHETAMINE,GENERIC_NAME,DEXTROAMPHETAMINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
NOSE CANDY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
NOSE POWDER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
OLD LADY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
OYSTER STEW,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PAINT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PALOMA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PALETA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PALOMOS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PANTALONES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
5-METHOXY-DIISOPROPYLTRYPTAMINE,5-METHOXY-DIISOPROPYLTRYPTAMINE,GENERIC_NAME,5-METHOXY-DIISOPROPYLTRYPTAMINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PAPAS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PARADISE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PARADISE WHITE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PARROT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PEARL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PEDRITO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PERICO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PERSONAL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PERUVIAN,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PERUVIAN FLAKE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PERUVIAN LADY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PESCADO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PETA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PEZ,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PICHICATA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PILLOW,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PIMP,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
PINGAS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
