NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
LOLLIPOP,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
MURDER 8,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
NAL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
NIL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
LORCASERIN,LORCASERIN,GENERIC_NAME,LORCASERIN,SCHEDULE IV,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
NYL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
OPES,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
PHARMACY,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
POISON,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
SHOES,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
SNOWFLAKE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
ACETORPHINE,ACETORPHINE,GENERIC_NAME,ACETORPHINE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
TANGO AND CASH,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
ALLYLPRODINE,ALLYLPRODINE,GENERIC_NAME,ALLYLPRODINE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
TNT,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
CYPRENORPHINE,CYPRENORPHINE,GENERIC_NAME,CYPRENORPHINE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
TOE TAG DOPE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
WHITE GIRL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
FENPROPOREX,FENPROPOREX,GENERIC_NAME,FENPROPOREX,SCHEDULE IV,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
WHITE LADIES,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
HEROIN,HEROIN,GENERIC_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
HETEROCODEINE,HETEROCODEINE,GENERIC_NAME,HETEROCODEINE,SCHEDULE II,,,ISOMER
DIACETYLMORPHINE,HEROIN,BRAND_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
MEPRODINE,MEPRODINE,GENERIC_NAME,MEPRODINE,SCHEDULE I,,,ANALOGUE
DIAMORPHONE,HEROIN,BRAND_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
METAZOCINE,METAZOCINE,GENERIC_NAME,METAZOCINE,SCHEDULE II,,,
ABAJO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
