id,name,name_type,full_generic_name,category,fda_schedule
486,pollutants,street_name,amphetamine,amphetamines,schedule ii
487,purple hearts,street_name,amphetamine,amphetamines,schedule ii
488,rippers,street_name,amphetamine,amphetamines,schedule ii
489,road dope,street_name,amphetamine,amphetamines,schedule ii
490,roses,street_name,amphetamine,amphetamines,schedule ii
491,rueda,street_name,amphetamine,amphetamines,schedule ii
492,snaps,street_name,amphetamine,amphetamines,schedule ii
493,snow pallets,street_name,amphetamine,amphetamines,schedule ii
494,sparkle plenty,street_name,amphetamine,amphetamines,schedule ii
495,sparklers,street_name,amphetamine,amphetamines,schedule ii
496,splash,street_name,amphetamine,amphetamines,schedule ii
497,sweeties,street_name,amphetamine,amphetamines,schedule ii
498,sweets,street_name,amphetamine,amphetamines,schedule ii
499,tens,street_name,amphetamine,amphetamines,schedule ii
500,thrusters,street_name,amphetamine,amphetamines,schedule ii
501,tr-6s,street_name,amphetamine,amphetamines,schedule ii
502,truck drivers,street_name,amphetamine,amphetamines,schedule ii
503,turnabouts,street_name,amphetamine,amphetamines,schedule ii
504,uppers,street_name,amphetamine,amphetamines,schedule ii
505,wake ups,street_name,amphetamine,amphetamines,schedule ii
506,west coast turnarounds,street_name,amphetamine,amphetamines,schedule ii
507,3-methylfentanyl,generic_name,3-methylfentanyl,amphetamines,schedule i
508,whiffle dust,street_name,amphetamine,amphetamines,schedule ii
509,3-methylthiofentanyl,generic_name,3-methylthiofentanyl,amphetamines,schedule i
510,white crosses,street_name,amphetamine,amphetamines,schedule ii
511,alphamethylthiofentanyl,generic_name,alphamethylthiofentanyl,amphetamines,schedule i
512,betahydroxyfentanyl,generic_name,betahydroxyfentanyl,amphetamines,schedule i
513,zoomers,street_name,amphetamine,amphetamines,schedule ii
514,betahydroxythiofentanyl,generic_name,betahydroxythiofentanyl,amphetamines,schedule i
515,juice,street_name,amphetamine,amphetamines,schedule ii
516,adderall,brand_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
517,diethylthiambutene,generic_name,diethylthiambutene,amphetamines,schedule i
518,a-train,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
519,dimethylthiambutene,generic_name,dimethylthiambutene,amphetamines,schedule i
520,abby,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
521,drostanolone propionate,generic_name,drostanolone propionate,amphetamines,schedule iii
522,addies,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
523,ethylmethylthiambutene,generic_name,ethylmethylthiambutene,amphetamines,schedule i
524,addy,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
525,etilamfetamine,generic_name,etilamfetamine,amphetamines,schedule i
526,amps,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
527,christmas trees,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
528,hydroxypethidine,generic_name,hydroxypethidine,amphetamines,schedule i
529,co-pilots,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
530,lid poppers,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
531,smart pills,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
532,mazindol,generic_name,mazindol,amphetamines,schedule iv
533,smarties,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
534,study buddies,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
535,obetrol,generic_name,obetrol,amphetamines,schedule ii
536,study skittles,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
537,truck drivers,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
538,parafluorofentanyl,generic_name,parafluorofentanyl,amphetamines,schedule i
539,zing,street_name,amphetamine and dextroamphetamine combination,amphetamines,schedule ii
540,dexedrine,brand_name,amphetamine,amphetamines,schedule ii
541,phenadoxone,generic_name,phenadoxone,amphetamines,schedule i
542,buprenorphine,generic_name,buprenorphine,opioid analgesics,schedule iii
543,suboxone,brand_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
544,subutex,brand_name,buprenorphine,opioid analgesics,schedule iii
545,thiofentanyl,generic_name,thiofentanyl,opioid analgesics,schedule i
546,boxes,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
547,α-methylacetylfentanyl,generic_name,α-methylacetylfentanyl,opioid analgesics,schedule i
548,bupes,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
549,25b-nbome,generic_name,25b-nbome,opioid analgesics,schedule i
550,oranges,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
551,alpha-pyrrolidinopentiophenone,generic_name,alpha-pyrrolidinopentiophenone,opioid analgesics,schedule i
552,sobos,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
553,stop signs,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
554,stops,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
555,subs,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
556,big whites,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
557,naphyrone,generic_name,naphyrone,opioid analgesics,schedule i
558,buse,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
559,small whites,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
560,racemorphan,generic_name,racemorphan,opioid analgesics,schedule ii
561,strips,street_name,buprenorphine and naloxone combination,opioid analgesics,schedule iii
562,clonazepam,generic_name,clonazepam,benzodiazepine derivative sedatives/hypnotics,schedule iv
563,benzos,street_name,clonazepam,benzodiazepine derivative sedatives/hypnotics,schedule iv
564,tetronal,generic_name,tetronal,benzodiazepine derivative sedatives/hypnotics,schedule iii
565,k,street_name,clonazepam,benzodiazepine derivative sedatives/hypnotics,schedule iv
566,k-pin,street_name,clonazepam,benzodiazepine derivative sedatives/hypnotics,schedule iv
567,super valium,street_name,clonazepam,benzodiazepine derivative sedatives/hypnotics,schedule iv
568,tranks,street_name,clonazepam,benzodiazepine derivative sedatives/hypnotics,schedule iv
569,klonopin,street_name,clonazepam,benzodiazepine derivative sedatives/hypnotics,schedule iv
570,cocaine,generic_name,cocaine,"anesthetics,mucosal",schedule ii
571,regular kind,street_name,cocaine,"anesthetics,mucosal",schedule ii
572,acetylfentanyl,generic_name,acetylfentanyl,"anesthetics,mucosal",schedule i
573,regular work,street_name,cocaine,"anesthetics,mucosal",schedule ii
574,reindeer dust,street_name,cocaine,"anesthetics,mucosal",schedule ii
575,richie,street_name,cocaine,"anesthetics,mucosal",schedule ii
576,rims,street_name,cocaine,"anesthetics,mucosal",schedule ii
577,rocky mountain,street_name,cocaine,"anesthetics,mucosal",schedule ii
578,cannabidiol,generic_name,cannabidiol,"anesthetics,mucosal",schedule i
579,rolex,street_name,cocaine,"anesthetics,mucosal",schedule ii
580,rolex hh,street_name,cocaine,"anesthetics,mucosal",schedule ii
581,rooster,street_name,cocaine,"anesthetics,mucosal",schedule ii
582,desoxymethyltestosterone,generic_name,desoxymethyltestosterone,"anesthetics,mucosal",schedule iii
583,dihydrocodeine,generic_name,dihydrocodeine,"anesthetics,mucosal",schedule ii
584,schmeck,street_name,cocaine,"anesthetics,mucosal",schedule ii
585,schoolboy,street_name,cocaine,"anesthetics,mucosal",schedule ii
586,scorpion,street_name,cocaine,"anesthetics,mucosal",schedule ii
587,scottie,street_name,cocaine,"anesthetics,mucosal",schedule ii
588,tetrahydrogestrinone,generic_name,tetrahydrogestrinone,"anesthetics,mucosal",schedule iii
589,serpico,street_name,cocaine,"anesthetics,mucosal",schedule ii
590,alpha-methyltryptamine,generic_name,alpha-methyltryptamine,"anesthetics,mucosal",schedule i
591,sierra,street_name,cocaine,"anesthetics,mucosal",schedule ii
592,ski equipment,street_name,cocaine,"anesthetics,mucosal",schedule ii
593,sleigh ride,street_name,cocaine,"anesthetics,mucosal",schedule ii
594,sneeze,street_name,cocaine,"anesthetics,mucosal",schedule ii
595,sniff,street_name,cocaine,"anesthetics,mucosal",schedule ii
596,snow bird,street_name,cocaine,"anesthetics,mucosal",schedule ii
597,snow cone,street_name,cocaine,"anesthetics,mucosal",schedule ii
598,snow white,street_name,cocaine,"anesthetics,mucosal",schedule ii
599,snowball,street_name,cocaine,"anesthetics,mucosal",schedule ii
600,snowflake,street_name,cocaine,"anesthetics,mucosal",schedule ii
601,society high,street_name,cocaine,"anesthetics,mucosal",schedule ii
602,ergine,generic_name,ergine,"anesthetics,mucosal",schedule iii
603,soda,street_name,cocaine,"anesthetics,mucosal",schedule ii
604,soditas,street_name,cocaine,"anesthetics,mucosal",schedule ii
605,speedball,street_name,cocaine,"anesthetics,mucosal",schedule ii
606,stardust,street_name,cocaine,"anesthetics,mucosal",schedule ii
607,star spangled powder,street_name,cocaine,"anesthetics,mucosal",schedule ii
608,stash,street_name,cocaine,"anesthetics,mucosal",schedule ii
609,studio fuel,street_name,cocaine,"anesthetics,mucosal",schedule ii
610,suave,street_name,cocaine,"anesthetics,mucosal",schedule ii
611,superman,street_name,cocaine,"anesthetics,mucosal",schedule ii
612,sweet stuff,street_name,cocaine,"anesthetics,mucosal",schedule ii
613,dexmethylphenidate,generic_name,dexmethylphenidate,"anesthetics,mucosal",schedule ii
614,tabique,street_name,cocaine,"anesthetics,mucosal",schedule ii
615,tablas,street_name,cocaine,"anesthetics,mucosal",schedule ii
616,talco,street_name,cocaine,"anesthetics,mucosal",schedule ii
617,talquito,street_name,cocaine,"anesthetics,mucosal",schedule ii
618,tamales,street_name,cocaine,"anesthetics,mucosal",schedule ii
619,para-methoxyamphetamine,generic_name,para-methoxyamphetamine,"anesthetics,mucosal",schedule i
620,tecate,street_name,cocaine,"anesthetics,mucosal",schedule ii
621,psilocin,generic_name,psilocin,"anesthetics,mucosal",schedule i
622,teenager,street_name,cocaine,"anesthetics,mucosal",schedule ii
623,tequila,street_name,cocaine,"anesthetics,mucosal",schedule ii
624,thunder,street_name,cocaine,"anesthetics,mucosal",schedule ii
625,tonto,street_name,cocaine,"anesthetics,mucosal",schedule ii
626,toot,street_name,cocaine,"anesthetics,mucosal",schedule ii
627,tortes,street_name,cocaine,"anesthetics,mucosal",schedule ii
628,tortuga,street_name,cocaine,"anesthetics,mucosal",schedule ii
629,toyota,street_name,cocaine,"anesthetics,mucosal",schedule ii
630,dimethyllysergamide,generic_name,dimethyllysergamide,"anesthetics,mucosal",schedule i
631,t-shirts,street_name,cocaine,"anesthetics,mucosal",schedule ii
632,tubo,street_name,cocaine,"anesthetics,mucosal",schedule ii
633,tucibi,street_name,cocaine,"anesthetics,mucosal",schedule ii
634,fenethylline,generic_name,fenethylline,"anesthetics,mucosal",schedule i
635,turkey,street_name,cocaine,"anesthetics,mucosal",schedule ii
636,hexobarbital,generic_name,hexobarbital,"anesthetics,mucosal",schedule iii
637,tutti-frutti,street_name,cocaine,"anesthetics,mucosal",schedule ii
638,vaquita,street_name,cocaine,"anesthetics,mucosal",schedule ii
639,levomethorphan,generic_name,levomethorphan,"anesthetics,mucosal",schedule ii
640,whack,street_name,cocaine,"anesthetics,mucosal",schedule ii
641,methorphan,generic_name,methorphan,"anesthetics,mucosal",schedule ii
642,methyprylon,generic_name,methyprylon,"anesthetics,mucosal",schedule iii
643,white bitch,street_name,cocaine,"anesthetics,mucosal",schedule ii
644,white cross,street_name,cocaine,"anesthetics,mucosal",schedule ii
645,white dove,street_name,cocaine,"anesthetics,mucosal",schedule ii
646,white girl,street_name,cocaine,"anesthetics,mucosal",schedule ii
647,white goat,street_name,cocaine,"anesthetics,mucosal",schedule ii
648,pholcodine,generic_name,pholcodine,"anesthetics,mucosal",schedule i
649,white horse,street_name,cocaine,"anesthetics,mucosal",schedule ii
650,white lady,street_name,cocaine,"anesthetics,mucosal",schedule ii
651,white mercedes benz,street_name,cocaine,"anesthetics,mucosal",schedule ii
652,tetrazepam,generic_name,tetrazepam,"anesthetics,mucosal",schedule iv
653,white mosquito,street_name,cocaine,"anesthetics,mucosal",schedule ii
654,white paint,street_name,cocaine,"anesthetics,mucosal",schedule ii
655,acetyldihydrocodeine,generic_name,acetyldihydrocodeine,"anesthetics,mucosal",schedule i
656,white powder,street_name,cocaine,"anesthetics,mucosal",schedule ii
657,white rock,street_name,cocaine,"anesthetics,mucosal",schedule ii
658,white root,street_name,cocaine,"anesthetics,mucosal",schedule ii
659,white shirt,street_name,cocaine,"anesthetics,mucosal",schedule ii
660,white t,street_name,cocaine,"anesthetics,mucosal",schedule ii
661,white wall tires,street_name,cocaine,"anesthetics,mucosal",schedule ii
662,whitey,street_name,cocaine,"anesthetics,mucosal",schedule ii
663,whiz bang,street_name,cocaine,"anesthetics,mucosal",schedule ii
664,wooly,street_name,cocaine,"anesthetics,mucosal",schedule ii
665,yayo,street_name,cocaine,"anesthetics,mucosal",schedule ii
666,yeyo,street_name,cocaine,"anesthetics,mucosal",schedule ii
667,yoda,street_name,cocaine,"anesthetics,mucosal",schedule ii
668,zapato,street_name,cocaine,"anesthetics,mucosal",schedule ii
669,zip,street_name,cocaine,"anesthetics,mucosal",schedule ii
670,ice cream,street_name,cocaine,"anesthetics,mucosal",schedule ii
671,icing,street_name,cocaine,"anesthetics,mucosal",schedule ii
672,inca message,street_name,cocaine,"anesthetics,mucosal",schedule ii
673,bolandione,generic_name,bolandione,"anesthetics,mucosal",schedule iii
674,izzy,street_name,cocaine,"anesthetics,mucosal",schedule ii
675,jam,street_name,cocaine,"anesthetics,mucosal",schedule ii
676,jaime blanco,street_name,cocaine,"anesthetics,mucosal",schedule ii
677,jwh-250,generic_name,jwh-250,"anesthetics,mucosal",schedule i
678,jaula,street_name,cocaine,"anesthetics,mucosal",schedule ii
679,lopirazepam,generic_name,lopirazepam,"anesthetics,mucosal",schedule iv
680,jelly,street_name,cocaine,"anesthetics,mucosal",schedule ii
681,john deere,street_name,cocaine,"anesthetics,mucosal",schedule ii
682,joy flakes,street_name,cocaine,"anesthetics,mucosal",schedule ii
683,joy powder,street_name,cocaine,"anesthetics,mucosal",schedule ii
684,juguetes,street_name,cocaine,"anesthetics,mucosal",schedule ii
685,jwh-398,generic_name,jwh-398,"anesthetics,mucosal",schedule i
686,jump rope,street_name,cocaine,"anesthetics,mucosal",schedule ii
687,junk,street_name,cocaine,"anesthetics,mucosal",schedule ii
688,k13,street_name,cocaine,"anesthetics,mucosal",schedule ii
689,king’s habit,street_name,cocaine,"anesthetics,mucosal",schedule ii
690,kordell,street_name,cocaine,"anesthetics,mucosal",schedule ii
691,alphacetylmethadol,generic_name,alphacetylmethadol,"anesthetics,mucosal",schedule i
692,la familia,street_name,cocaine,"anesthetics,mucosal",schedule ii
693,lady snow,street_name,cocaine,"anesthetics,mucosal",schedule ii
694,late night,street_name,cocaine,"anesthetics,mucosal",schedule ii
695,betacetylmethadol,generic_name,betacetylmethadol,"anesthetics,mucosal",schedule i
696,lavada,street_name,cocaine,"anesthetics,mucosal",schedule ii
697,leaf,street_name,cocaine,"anesthetics,mucosal",schedule ii
698,libreta,street_name,cocaine,"anesthetics,mucosal",schedule ii
699,ab-fubinaca,generic_name,ab-fubinaca,"anesthetics,mucosal",schedule i
700,ab-pinaca,generic_name,ab-pinaca,"anesthetics,mucosal",schedule i
701,loaf,street_name,cocaine,"anesthetics,mucosal",schedule ii
702,love affair,street_name,cocaine,"anesthetics,mucosal",schedule ii
703,lv,street_name,cocaine,"anesthetics,mucosal",schedule ii
704,maca flour,street_name,cocaine,"anesthetics,mucosal",schedule ii
705,madera,street_name,cocaine,"anesthetics,mucosal",schedule ii
706,mama coca,street_name,cocaine,"anesthetics,mucosal",schedule ii
707,mandango,street_name,cocaine,"anesthetics,mucosal",schedule ii
708,manita,street_name,cocaine,"anesthetics,mucosal",schedule ii
709,maradona,street_name,cocaine,"anesthetics,mucosal",schedule ii
710,marbol,street_name,cocaine,"anesthetics,mucosal",schedule ii
711,mayback,street_name,cocaine,"anesthetics,mucosal",schedule ii
712,mayo,street_name,cocaine,"anesthetics,mucosal",schedule ii
713,melcocha,street_name,cocaine,"anesthetics,mucosal",schedule ii
714,media lata,street_name,cocaine,"anesthetics,mucosal",schedule ii
715,mercedes,street_name,cocaine,"anesthetics,mucosal",schedule ii
716,milonga,street_name,cocaine,"anesthetics,mucosal",schedule ii
717,mojo,street_name,cocaine,"anesthetics,mucosal",schedule ii
718,mona lisa,street_name,cocaine,"anesthetics,mucosal",schedule ii
719,"3,4-methylenedioxy-n-ethylamphetamine",generic_name,"3,4-methylenedioxy-n-ethylamphetamine","anesthetics,mucosal",schedule i
720,monte,street_name,cocaine,"anesthetics,mucosal",schedule ii
721,morro,street_name,cocaine,"anesthetics,mucosal",schedule ii
722,mosquitos,street_name,cocaine,"anesthetics,mucosal",schedule ii
723,movie star drug,street_name,cocaine,"anesthetics,mucosal",schedule ii
724,muchacha,street_name,cocaine,"anesthetics,mucosal",schedule ii
725,racemoramide,generic_name,racemoramide,"anesthetics,mucosal",schedule i
726,muebles,street_name,cocaine,"anesthetics,mucosal",schedule ii
727,mujer,street_name,cocaine,"anesthetics,mucosal",schedule ii
728,napkin,street_name,cocaine,"anesthetics,mucosal",schedule ii
729,nieve,street_name,cocaine,"anesthetics,mucosal",schedule ii
730,nina,street_name,cocaine,"anesthetics,mucosal",schedule ii
731,dextroamphetamine,generic_name,dextroamphetamine,"anesthetics,mucosal",schedule ii
732,nose candy,street_name,cocaine,"anesthetics,mucosal",schedule ii
733,nose powder,street_name,cocaine,"anesthetics,mucosal",schedule ii
734,old lady,street_name,cocaine,"anesthetics,mucosal",schedule ii
735,oyster stew,street_name,cocaine,"anesthetics,mucosal",schedule ii
736,paloma,street_name,cocaine,"anesthetics,mucosal",schedule ii
737,paleta,street_name,cocaine,"anesthetics,mucosal",schedule ii
738,palomos,street_name,cocaine,"anesthetics,mucosal",schedule ii
739,pantalones,street_name,cocaine,"anesthetics,mucosal",schedule ii
740,5-methoxy-diisopropyltryptamine,generic_name,5-methoxy-diisopropyltryptamine,"anesthetics,mucosal",schedule i
741,papas,street_name,cocaine,"anesthetics,mucosal",schedule ii
742,paradise,street_name,cocaine,"anesthetics,mucosal",schedule ii
743,paradise white,street_name,cocaine,"anesthetics,mucosal",schedule ii
744,parrot,street_name,cocaine,"anesthetics,mucosal",schedule ii
745,pearl,street_name,cocaine,"anesthetics,mucosal",schedule ii
746,pedrito,street_name,cocaine,"anesthetics,mucosal",schedule ii
747,perico,street_name,cocaine,"anesthetics,mucosal",schedule ii
748,peruvian,street_name,cocaine,"anesthetics,mucosal",schedule ii
749,peruvian flake,street_name,cocaine,"anesthetics,mucosal",schedule ii
750,peruvian lady,street_name,cocaine,"anesthetics,mucosal",schedule ii
751,pescado,street_name,cocaine,"anesthetics,mucosal",schedule ii
752,peta,street_name,cocaine,"anesthetics,mucosal",schedule ii
753,pez,street_name,cocaine,"anesthetics,mucosal",schedule ii
754,pichicata,street_name,cocaine,"anesthetics,mucosal",schedule ii
755,pillow,street_name,cocaine,"anesthetics,mucosal",schedule ii
756,pimp,street_name,cocaine,"anesthetics,mucosal",schedule ii
757,pingas,street_name,cocaine,"anesthetics,mucosal",schedule ii
758,pingos,street_name,cocaine,"anesthetics,mucosal",schedule ii
759,pintura blanca,street_name,cocaine,"anesthetics,mucosal",schedule ii
760,poli,street_name,cocaine,"anesthetics,mucosal",schedule ii
761,pollo,street_name,cocaine,"anesthetics,mucosal",schedule ii
762,polvo,street_name,cocaine,"anesthetics,mucosal",schedule ii
763,powder diamonds,street_name,cocaine,"anesthetics,mucosal",schedule ii
764,methaqualone,generic_name,methaqualone,"anesthetics,mucosal",schedule i
765,puma,street_name,cocaine,"anesthetics,mucosal",schedule ii
766,puritain,street_name,cocaine,"anesthetics,mucosal",schedule ii
767,quadros,street_name,cocaine,"anesthetics,mucosal",schedule ii
768,queso blanco,street_name,cocaine,"anesthetics,mucosal",schedule ii
769,racehorse charlie,street_name,cocaine,"anesthetics,mucosal",schedule ii
770,rambo,street_name,cocaine,"anesthetics,mucosal",schedule ii
771,benzphetamine,generic_name,benzphetamine,"anesthetics,mucosal",schedule iii
772,refresco,street_name,cocaine,"anesthetics,mucosal",schedule ii
773,refrescas,street_name,cocaine,"anesthetics,mucosal",schedule ii
774,pearl,street_name,cocaine,"anesthetics,mucosal",schedule ii
775,hubba,street_name,cocaine,"anesthetics,mucosal",schedule ii
776,gringa,street_name,cocaine,"anesthetics,mucosal",schedule ii
777,flake,street_name,cocaine,"anesthetics,mucosal",schedule ii
778,chevy,street_name,cocaine,"anesthetics,mucosal",schedule ii
779,cheyenne,street_name,cocaine,"anesthetics,mucosal",schedule ii
780,temazepam,generic_name,temazepam,"anesthetics,mucosal",schedule iv
781,chica,street_name,cocaine,"anesthetics,mucosal",schedule ii
782,chicanitas,street_name,cocaine,"anesthetics,mucosal",schedule ii
783,chinos,street_name,cocaine,"anesthetics,mucosal",schedule ii
784,chiva,street_name,cocaine,"anesthetics,mucosal",schedule ii
785,ethchlorvynol,generic_name,ethchlorvynol,"anesthetics,mucosal",schedule iv
786,cielo,street_name,cocaine,"anesthetics,mucosal",schedule ii
787,clear kind,street_name,cocaine,"anesthetics,mucosal",schedule ii
788,clear tires,street_name,cocaine,"anesthetics,mucosal",schedule ii
789,coca,street_name,cocaine,"anesthetics,mucosal",schedule ii
790,coca-cola,street_name,cocaine,"anesthetics,mucosal",schedule ii
791,cocazo,street_name,cocaine,"anesthetics,mucosal",schedule ii
792,coconut,street_name,cocaine,"anesthetics,mucosal",schedule ii
793,coke,street_name,cocaine,"anesthetics,mucosal",schedule ii
794,cola,street_name,cocaine,"anesthetics,mucosal",schedule ii
795,colorado,street_name,cocaine,"anesthetics,mucosal",schedule ii
796,comida,street_name,cocaine,"anesthetics,mucosal",schedule ii
797,comida dulce,street_name,cocaine,"anesthetics,mucosal",schedule ii
798,connie,street_name,cocaine,"anesthetics,mucosal",schedule ii
799,cookie,street_name,cocaine,"anesthetics,mucosal",schedule ii
800,cosa,street_name,cocaine,"anesthetics,mucosal",schedule ii
801,coso,street_name,cocaine,"anesthetics,mucosal",schedule ii
802,cosos,street_name,cocaine,"anesthetics,mucosal",schedule ii
803,tiletamine,generic_name,tiletamine,"anesthetics,mucosal",schedule iii
804,crow,street_name,cocaine,"anesthetics,mucosal",schedule ii
805,crusty treats,street_name,cocaine,"anesthetics,mucosal",schedule ii
806,cuadro,street_name,cocaine,"anesthetics,mucosal",schedule ii
807,death valley,street_name,cocaine,"anesthetics,mucosal",schedule ii
808,designer jeans,street_name,cocaine,"anesthetics,mucosal",schedule ii
809,devil’s dandruff,street_name,cocaine,"anesthetics,mucosal",schedule ii
810,diamonds,street_name,cocaine,"anesthetics,mucosal",schedule ii
811,diente,street_name,cocaine,"anesthetics,mucosal",schedule ii
812,barbital,generic_name,barbital,"anesthetics,mucosal",schedule iv
813,dienton,street_name,cocaine,"anesthetics,mucosal",schedule ii
814,boldenone,generic_name,boldenone,"anesthetics,mucosal",schedule iii
815,diesel,street_name,cocaine,"anesthetics,mucosal",schedule ii
816,diosa blanca,street_name,cocaine,"anesthetics,mucosal",schedule ii
817,dona blanca,street_name,cocaine,"anesthetics,mucosal",schedule ii
818,double bubble,street_name,cocaine,"anesthetics,mucosal",schedule ii
819,clorazepate,generic_name,clorazepate,"anesthetics,mucosal",schedule iv
820,double letters,street_name,cocaine,"anesthetics,mucosal",schedule ii
821,dove,street_name,cocaine,"anesthetics,mucosal",schedule ii
822,dulces,street_name,cocaine,"anesthetics,mucosal",schedule ii
823,duracell,street_name,cocaine,"anesthetics,mucosal",schedule ii
824,durazno,street_name,cocaine,"anesthetics,mucosal",schedule ii
825,duro,street_name,cocaine,"anesthetics,mucosal",schedule ii
826,escama,street_name,cocaine,"anesthetics,mucosal",schedule ii
827,metandienone,generic_name,metandienone,"anesthetics,mucosal",schedule iii
828,escorpino,street_name,cocaine,"anesthetics,mucosal",schedule ii
829,falopa,street_name,cocaine,"anesthetics,mucosal",schedule ii
830,methohexital,generic_name,methohexital,"anesthetics,mucosal",schedule iv
831,fef1,street_name,cocaine,"anesthetics,mucosal",schedule ii
832,fichas,street_name,cocaine,"anesthetics,mucosal",schedule ii
833,nordazepam,generic_name,nordazepam,"anesthetics,mucosal",schedule iv
834,fiesta,street_name,cocaine,"anesthetics,mucosal",schedule ii
835,oxymetholone,generic_name,oxymetholone,"anesthetics,mucosal",schedule iii
836,fish scale,street_name,cocaine,"anesthetics,mucosal",schedule ii
837,quinbolone,generic_name,quinbolone,"anesthetics,mucosal",schedule iii
838,flake,street_name,cocaine,"anesthetics,mucosal",schedule ii
839,flea market jeans,street_name,cocaine,"anesthetics,mucosal",schedule ii
840,florida snow,street_name,cocaine,"anesthetics,mucosal",schedule ii
841,flour,street_name,cocaine,"anesthetics,mucosal",schedule ii
842,foolish powder,street_name,cocaine,"anesthetics,mucosal",schedule ii
843,"2,5-dimethoxy-4-ethylamphetamine",generic_name,"2,5-dimethoxy-4-ethylamphetamine","anesthetics,mucosal",schedule i
844,fox,street_name,cocaine,"anesthetics,mucosal",schedule ii
845,4-methylaminorex,generic_name,4-methylaminorex,"anesthetics,mucosal",schedule i
846,freeze,street_name,cocaine,"anesthetics,mucosal",schedule ii
847,friskie powder,street_name,cocaine,"anesthetics,mucosal",schedule ii
848,frula,street_name,cocaine,"anesthetics,mucosal",schedule ii
849,funtime,street_name,cocaine,"anesthetics,mucosal",schedule ii
850,gabacho,street_name,cocaine,"anesthetics,mucosal",schedule ii
851,galaxy,street_name,cocaine,"anesthetics,mucosal",schedule ii
852,gallos,street_name,cocaine,"anesthetics,mucosal",schedule ii
853,gato,street_name,cocaine,"anesthetics,mucosal",schedule ii
854,dextromoramide,generic_name,dextromoramide,"anesthetics,mucosal",schedule i
855,gift of the sun,street_name,cocaine,"anesthetics,mucosal",schedule ii
856,dihydromorphine,generic_name,dihydromorphine,"anesthetics,mucosal",schedule i
857,girlfriend,street_name,cocaine,"anesthetics,mucosal",schedule ii
858,dipipanone,generic_name,dipipanone,"anesthetics,mucosal",schedule i
859,glad stuff,street_name,cocaine,"anesthetics,mucosal",schedule ii
860,gold dust,street_name,cocaine,"anesthetics,mucosal",schedule ii
861,green gold,street_name,cocaine,"anesthetics,mucosal",schedule ii
862,gringa,street_name,cocaine,"anesthetics,mucosal",schedule ii
863,gringito,street_name,cocaine,"anesthetics,mucosal",schedule ii
864,grout,street_name,cocaine,"anesthetics,mucosal",schedule ii
865,guerillo,street_name,cocaine,"anesthetics,mucosal",schedule ii
866,gueros,street_name,cocaine,"anesthetics,mucosal",schedule ii
867,metenolone enanthate,generic_name,metenolone enanthate,"anesthetics,mucosal",schedule iii
868,h1,street_name,cocaine,"anesthetics,mucosal",schedule ii
869,metharbital,generic_name,metharbital,"anesthetics,mucosal",schedule iii
870,hai hit,street_name,cocaine,"anesthetics,mucosal",schedule ii
871,methylphenobarbital,generic_name,methylphenobarbital,"anesthetics,mucosal",schedule iv
872,hamburger,street_name,cocaine,"anesthetics,mucosal",schedule ii
873,happy dust,street_name,cocaine,"anesthetics,mucosal",schedule ii
874,happy powder,street_name,cocaine,"anesthetics,mucosal",schedule ii
875,happy trails,street_name,cocaine,"anesthetics,mucosal",schedule ii
876,heaven dust,street_name,cocaine,"anesthetics,mucosal",schedule ii
877,heavy one,street_name,cocaine,"anesthetics,mucosal",schedule ii
878,henry viii,street_name,cocaine,"anesthetics,mucosal",schedule ii
879,hh,street_name,cocaine,"anesthetics,mucosal",schedule ii
880,hhj,street_name,cocaine,"anesthetics,mucosal",schedule ii
881,prazepam,generic_name,prazepam,"anesthetics,mucosal",schedule iv
882,high heat,street_name,cocaine,"anesthetics,mucosal",schedule ii
883,4-methylthioamphetamine,generic_name,4-methylthioamphetamine,"anesthetics,mucosal",schedule i
884,hmh,street_name,cocaine,"anesthetics,mucosal",schedule ii
